Player,Input Array,,NHL.com Predictions,S.W.A.T.,NHLe (NL Ice Data),NHLe (Patrick Bacon),,Games Played,Total Points,Point Pace
Cole Reinhardt,"[""Cole"",""Reinhardt"",""F"",""AHL"",None,73,207,24.62,56,8,23,0.41,2024]",,,17,18,13,,12,2,14
Oliver Kapanen,"[""Oliver"",""Kapanen"",""F"",""Liiga"",None,74,194,21.13,51,14,34,0.67,2024]",,,16,24,24,,12,2,14
Louis Crevier,"[""Louis"",""Crevier"",""D"",""AHL"",None,80,228,23.36,41,3,11,0.27,2024]",,,12,12,9,,17,2,10
Owen Pickering,"[""Owen"",""Pickering"",""D"",""WHL"",None,77,200,20.63,59,7,46,0.78,2024]",,,18,10,9,,23,2,7
Samuel Helenius,"[""Samuel"",""Helenius"",""F"",""AHL"",None,78,201,21.8,69,8,19,0.28,2024]",,,13,12,9,,23,2,7
Gage Goncalves,"[""Gage"",""Goncalves"",""F"",""AHL"",None,73,184,23.66,69,13,58,0.84,2024]",,,32,37,27,,26,2,6
Ethan Cardwell,"[""Ethan"",""Cardwell"",""F"",""AHL"",None,71,180,22.04,71,23,43,0.61,2024]",,,22,26,19,,6,1,14
Helge Grans,"[""Helge"",""Grans"",""D"",""AHL"",None,76,205,22.35,56,1,8,0.14,2024]",,,9,6,5,,6,1,14
Tyson Kozak,"[""Tyson"",""Kozak"",""F"",""AHL"",None,71,185,21.71,41,5,12,0.29,2024]",,,14,13,9,,7,1,12
Calum Ritchie,"[""Calum"",""Ritchie"",""F"",""OHL"",None,74,185,19.65,50,28,80,1.6,2024]",,,21,22,19,,7,1,12
Ryan Winterton,"[""Ryan"",""Winterton"",""F"",""AHL"",None,74,175,21.03,58,22,35,0.6,2024]",,,31,26,19,,8,1,10
Shakir Mukhamadullin,"[""Shakir"",""Mukhamadullin"",""D"",""AHL"",None,76,200,22.68,55,7,34,0.62,2024]",,,27,27,20,,10,1,8
Matt Rempe,"[""Matt"",""Rempe"",""F"",""AHL"",None,81,255,22.21,43,8,12,0.28,2024]",,,12,12,9,,11,1,7
Sam Colangelo,"[""Sam"",""Colangelo"",""F"",""NCAA"",None,74,211,22.72,38,24,43,1.13,2024]",,,28,23,18,,12,1,7
